Species1,n1,s1,e1,l1,Species2,n2,s2,e2,l2,Dist
ISO1,7,69812,74872,5061,ISO1,11,90056,95116,5061,0.0001975894
ISO1,8,74873,79933,5061,ISO1,11,90056,95116,5061,0.0003951788
ISO1,9,79934,84994,5061,ISO1,11,90056,95116,5061,0.0001975894
ISO1,10,84995,90055,5061,ISO1,11,90056,95116,5061,0.0003951788
ISO1,1,30629,35521,4893,ISO1,12,95117,100177,5061,0.0022485691
ISO1,2,35522,40585,5064,ISO1,12,95117,100177,5061,0.0009879470
ISO1,3,40586,45646,5061,ISO1,12,95117,100177,5061,0.0003951788
ISO1,4,45647,50708,5062,ISO1,12,95117,100177,5061,0.0005927682
ISO1,6,64750,69811,5062,ISO1,12,95117,100177,5061,0.0011855365
ISO1,7,69812,74872,5061,ISO1,12,95117,100177,5061,0.0000000000
ISO1,8,74873,79933,5061,ISO1,12,95117,100177,5061,0.0001975894
ISO1,9,79934,84994,5061,ISO1,12,95117,100177,5061,0.0000000000
ISO1,10,84995,90055,5061,ISO1,12,95117,100177,5061,0.0001975894
ISO1,11,90056,95116,5061,ISO1,12,95117,100177,5061,0.0001975894
ISO1,1,30629,35521,4893,ISO1,13,100178,105238,5061,0.0024529845
ISO1,2,35522,40585,5064,ISO1,13,100178,105238,5061,0.0011855365
ISO1,3,40586,45646,5061,ISO1,13,100178,105238,5061,0.0005927682
ISO1,4,45647,50708,5062,ISO1,13,100178,105238,5061,0.0007903576
ISO1,6,64750,69811,5062,ISO1,13,100178,105238,5061,0.0013831259
ISO1,7,69812,74872,5061,ISO1,13,100178,105238,5061,0.0001975894
ISO1,8,74873,79933,5061,ISO1,13,100178,105238,5061,0.0000000000
ISO1,9,79934,84994,5061,ISO1,13,100178,105238,5061,0.0001975894
ISO1,10,84995,90055,5061,ISO1,13,100178,105238,5061,0.0000000000
ISO1,11,90056,95116,5061,ISO1,13,100178,105238,5061,0.0003951788
ISO1,12,95117,100177,5061,ISO1,13,100178,105238,5061,0.0001975894
ISO1,1,30629,35521,4893,ISO1,14,105239,110278,5040,0.0039022387
ISO1,2,35522,40585,5064,ISO1,14,105239,110278,5040,0.0039706174
ISO1,3,40586,45646,5061,ISO1,14,105239,110278,5040,0.0029779631
ISO1,4,45647,50708,5062,ISO1,14,105239,110278,5040,0.0031764939
ISO1,6,64750,69811,5062,ISO1,14,105239,110278,5040,0.0041691483
ISO1,7,69812,74872,5061,ISO1,14,105239,110278,5040,0.0029779631
ISO1,8,74873,79933,5061,ISO1,14,105239,110278,5040,0.0027794322
ISO1,9,79934,84994,5061,ISO1,14,105239,110278,5040,0.0029779631
ISO1,10,84995,90055,5061,ISO1,14,105239,110278,5040,0.0027794322
ISO1,11,90056,95116,5061,ISO1,14,105239,110278,5040,0.0027794322
ISO1,12,95117,100177,5061,ISO1,14,105239,110278,5040,0.0029779631
ISO1,13,100178,105238,5061,ISO1,14,105239,110278,5040,0.0027794322
ISO1,1,30629,35521,4893,ISO1,15,110279,115322,5044,0.0032833983
ISO1,2,35522,40585,5064,ISO1,15,110279,115322,5044,0.0033716779
ISO1,3,40586,45646,5061,ISO1,15,110279,115322,5044,0.0031739734
ISO1,4,45647,50708,5062,ISO1,15,110279,115322,5044,0.0033716779
ISO1,6,64750,69811,5062,ISO1,15,110279,115322,5044,0.0035700119
ISO1,7,69812,74872,5061,ISO1,15,110279,115322,5044,0.0031739734
ISO1,8,74873,79933,5061,ISO1,15,110279,115322,5044,0.0033723468
ISO1,9,79934,84994,5061,ISO1,15,110279,115322,5044,0.0031739734
ISO1,10,84995,90055,5061,ISO1,15,110279,115322,5044,0.0033723468
ISO1,11,90056,95116,5061,ISO1,15,110279,115322,5044,0.0029756001
ISO1,12,95117,100177,5061,ISO1,15,110279,115322,5044,0.0031739734
ISO1,13,100178,105238,5061,ISO1,15,110279,115322,5044,0.0033723468
ISO1,14,105239,110278,5040,ISO1,15,110279,115322,5044,0.0025798770
ISO1,1,30629,35521,4893,ISO1,16,115323,120367,5045,0.0047198851
ISO1,2,35522,40585,5064,ISO1,16,115323,120367,5045,0.0047600159
ISO1,3,40586,45646,5061,ISO1,16,115323,120367,5045,0.0045625868
ISO1,4,45647,50708,5062,ISO1,16,115323,120367,5045,0.0047600159
ISO1,6,64750,69811,5062,ISO1,16,115323,120367,5045,0.0049583499
ISO1,7,69812,74872,5061,ISO1,16,115323,120367,5045,0.0045625868
ISO1,8,74873,79933,5061,ISO1,16,115323,120367,5045,0.0047609601
ISO1,9,79934,84994,5061,ISO1,16,115323,120367,5045,0.0045625868
ISO1,10,84995,90055,5061,ISO1,16,115323,120367,5045,0.0047609601
ISO1,11,90056,95116,5061,ISO1,16,115323,120367,5045,0.0047609601
ISO1,12,95117,100177,5061,ISO1,16,115323,120367,5045,0.0045625868
ISO1,13,100178,105238,5061,ISO1,16,115323,120367,5045,0.0047609601
ISO1,14,105239,110278,5040,ISO1,16,115323,120367,5045,0.0043650794
ISO1,15,110279,115322,5044,ISO1,16,115323,120367,5045,0.0021808089
ISO1,1,30629,35521,4893,ISO1,17,120368,125412,5045,0.0047198851
ISO1,2,35522,40585,5064,ISO1,17,120368,125412,5045,0.0047600159
ISO1,3,40586,45646,5061,ISO1,17,120368,125412,5045,0.0045625868
ISO1,4,45647,50708,5062,ISO1,17,120368,125412,5045,0.0047600159
ISO1,6,64750,69811,5062,ISO1,17,120368,125412,5045,0.0049583499
ISO1,7,69812,74872,5061,ISO1,17,120368,125412,5045,0.0045625868
ISO1,8,74873,79933,5061,ISO1,17,120368,125412,5045,0.0047609601
ISO1,9,79934,84994,5061,ISO1,17,120368,125412,5045,0.0045625868
ISO1,10,84995,90055,5061,ISO1,17,120368,125412,5045,0.0047609601
ISO1,11,90056,95116,5061,ISO1,17,120368,125412,5045,0.0047609601
ISO1,12,95117,100177,5061,ISO1,17,120368,125412,5045,0.0045625868
ISO1,13,100178,105238,5061,ISO1,17,120368,125412,5045,0.0047609601
ISO1,14,105239,110278,5040,ISO1,17,120368,125412,5045,0.0043650794
ISO1,15,110279,115322,5044,ISO1,17,120368,125412,5045,0.0021808089
ISO1,16,115323,120367,5045,ISO1,17,120368,125412,5045,0.0007928642
ISO1,1,30629,35521,4893,ISO1,18,125413,130457,5045,0.0049250975
ISO1,2,35522,40585,5064,ISO1,18,125413,130457,5045,0.0049583499
ISO1,3,40586,45646,5061,ISO1,18,125413,130457,5045,0.0047609601
ISO1,4,45647,50708,5062,ISO1,18,125413,130457,5045,0.0049583499
ISO1,6,64750,69811,5062,ISO1,18,125413,130457,5045,0.0051566839
ISO1,7,69812,74872,5061,ISO1,18,125413,130457,5045,0.0047609601
ISO1,8,74873,79933,5061,ISO1,18,125413,130457,5045,0.0049593335
ISO1,9,79934,84994,5061,ISO1,18,125413,130457,5045,0.0047609601
ISO1,10,84995,90055,5061,ISO1,18,125413,130457,5045,0.0049593335
ISO1,11,90056,95116,5061,ISO1,18,125413,130457,5045,0.0049593335
ISO1,12,95117,100177,5061,ISO1,18,125413,130457,5045,0.0047609601
ISO1,13,100178,105238,5061,ISO1,18,125413,130457,5045,0.0049593335
ISO1,14,105239,110278,5040,ISO1,18,125413,130457,5045,0.0045634921
ISO1,15,110279,115322,5044,ISO1,18,125413,130457,5045,0.0023790642
ISO1,16,115323,120367,5045,ISO1,18,125413,130457,5045,0.0009910803
ISO1,17,120368,125412,5045,ISO1,18,125413,130457,5045,0.0001982161
ISO1,1,30629,35521,4893,ISO1,19,130458,135497,5040,0.0049301561
ISO1,2,35522,40585,5064,ISO1,19,130458,135497,5040,0.0049632718
ISO1,3,40586,45646,5061,ISO1,19,130458,135497,5040,0.0047656871
ISO1,4,45647,50708,5062,ISO1,19,130458,135497,5040,0.0049632718
ISO1,6,64750,69811,5062,ISO1,19,130458,135497,5040,0.0051618027
ISO1,7,69812,74872,5061,ISO1,19,130458,135497,5040,0.0047656871
ISO1,8,74873,79933,5061,ISO1,19,130458,135497,5040,0.0049642573
ISO1,9,79934,84994,5061,ISO1,19,130458,135497,5040,0.0047656871
ISO1,10,84995,90055,5061,ISO1,19,130458,135497,5040,0.0049642573
ISO1,11,90056,95116,5061,ISO1,19,130458,135497,5040,0.0049642573
ISO1,12,95117,100177,5061,ISO1,19,130458,135497,5040,0.0047656871
ISO1,13,100178,105238,5061,ISO1,19,130458,135497,5040,0.0049642573
ISO1,14,105239,110278,5040,ISO1,19,130458,135497,5040,0.0045662100
ISO1,15,110279,115322,5044,ISO1,19,130458,135497,5040,0.0023814249
ISO1,16,115323,120367,5045,ISO1,19,130458,135497,5040,0.0013888889
ISO1,17,120368,125412,5045,ISO1,19,130458,135497,5040,0.0009920635
ISO1,18,125413,130457,5045,ISO1,19,130458,135497,5040,0.0011904762
ISO1,1,30629,35521,4893,ISO1,20,135498,140544,5047,0.0047179487
ISO1,2,35522,40585,5064,ISO1,20,135498,140544,5047,0.0047562426
ISO1,3,40586,45646,5061,ISO1,20,135498,140544,5047,0.0045607773
ISO1,4,45647,50708,5062,ISO1,20,135498,140544,5047,0.0047581285
ISO1,6,64750,69811,5062,ISO1,20,135498,140544,5047,0.0049563838
ISO1,7,69812,74872,5061,ISO1,20,135498,140544,5047,0.0045607773
ISO1,8,74873,79933,5061,ISO1,20,135498,140544,5047,0.0047590720
ISO1,9,79934,84994,5061,ISO1,20,135498,140544,5047,0.0045607773
ISO1,10,84995,90055,5061,ISO1,20,135498,140544,5047,0.0047590720
ISO1,11,90056,95116,5061,ISO1,20,135498,140544,5047,0.0047590720
ISO1,12,95117,100177,5061,ISO1,20,135498,140544,5047,0.0045607773
ISO1,13,100178,105238,5061,ISO1,20,135498,140544,5047,0.0047590720
ISO1,14,105239,110278,5040,ISO1,20,135498,140544,5047,0.0043668122
ISO1,15,110279,115322,5044,ISO1,20,135498,140544,5047,0.0021816739
ISO1,16,115323,120367,5045,ISO1,20,135498,140544,5047,0.0011897680
ISO1,17,120368,125412,5045,ISO1,20,135498,140544,5047,0.0007931787
ISO1,18,125413,130457,5045,ISO1,20,135498,140544,5047,0.0009914733
ISO1,19,130458,135497,5040,ISO1,20,135498,140544,5047,0.0009924573
ISO1,1,30629,35521,4893,ISO1,21,140545,145565,5021,0.0045398267
ISO1,2,35522,40585,5064,ISO1,21,140545,145565,5021,0.0045844130
ISO1,3,40586,45646,5061,ISO1,21,140545,145565,5021,0.0043877144
ISO1,4,45647,50708,5062,ISO1,21,140545,145565,5021,0.0045862413
ISO1,6,64750,69811,5062,ISO1,21,140545,145565,5021,0.0047856431
ISO1,7,69812,74872,5061,ISO1,21,140545,145565,5021,0.0043877144
ISO1,8,74873,79933,5061,ISO1,21,140545,145565,5021,0.0045871560
ISO1,9,79934,84994,5061,ISO1,21,140545,145565,5021,0.0043877144
ISO1,10,84995,90055,5061,ISO1,21,140545,145565,5021,0.0045871560
ISO1,11,90056,95116,5061,ISO1,21,140545,145565,5021,0.0045871560
ISO1,12,95117,100177,5061,ISO1,21,140545,145565,5021,0.0043877144
ISO1,13,100178,105238,5061,ISO1,21,140545,145565,5021,0.0045871560
ISO1,14,105239,110278,5040,ISO1,21,140545,145565,5021,0.0041907803
ISO1,15,110279,115322,5044,ISO1,21,140545,145565,5021,0.0019940179
ISO1,16,115323,120367,5045,ISO1,21,140545,145565,5021,0.0009968102
ISO1,17,120368,125412,5045,ISO1,21,140545,145565,5021,0.0005980861
ISO1,18,125413,130457,5045,ISO1,21,140545,145565,5021,0.0007974482
ISO1,19,130458,135497,5040,ISO1,21,140545,145565,5021,0.0007982439
ISO1,20,135498,140544,5047,ISO1,21,140545,145565,5021,0.0005978477
ISO1,1,30629,35521,4893,ISO1,22,145566,150587,5022,0.0043298969
ISO1,2,35522,40585,5064,ISO1,22,145566,150587,5022,0.0039848575
ISO1,3,40586,45646,5061,ISO1,22,145566,150587,5022,0.0037863691
ISO1,4,45647,50708,5062,ISO1,22,145566,150587,5022,0.0039848575
ISO1,6,64750,69811,5062,ISO1,22,145566,150587,5022,0.0041841004
ISO1,7,69812,74872,5061,ISO1,22,145566,150587,5022,0.0037863691
ISO1,8,74873,79933,5061,ISO1,22,145566,150587,5022,0.0039856517
ISO1,9,79934,84994,5061,ISO1,22,145566,150587,5022,0.0037863691
ISO1,10,84995,90055,5061,ISO1,22,145566,150587,5022,0.0039856517
ISO1,11,90056,95116,5061,ISO1,22,145566,150587,5022,0.0039856517
ISO1,12,95117,100177,5061,ISO1,22,145566,150587,5022,0.0037863691
ISO1,13,100178,105238,5061,ISO1,22,145566,150587,5022,0.0039856517
ISO1,14,105239,110278,5040,ISO1,22,145566,150587,5022,0.0035878015
ISO1,15,110279,115322,5044,ISO1,22,145566,150587,5022,0.0017924716
ISO1,16,115323,120367,5045,ISO1,22,145566,150587,5022,0.0007964954
ISO1,17,120368,125412,5045,ISO1,22,145566,150587,5022,0.0007964954
ISO1,18,125413,130457,5045,ISO1,22,145566,150587,5022,0.0009956193
ISO1,19,130458,135497,5040,ISO1,22,145566,150587,5022,0.0009966115
ISO1,20,135498,140544,5047,ISO1,22,145566,150587,5022,0.0007968127
ISO1,21,140545,145565,5021,ISO1,22,145566,150587,5022,0.0005995204
ISO1,1,30629,35521,4893,ISO1,23,150588,155609,5022,0.0043298969
ISO1,2,35522,40585,5064,ISO1,23,150588,155609,5022,0.0039848575
ISO1,3,40586,45646,5061,ISO1,23,150588,155609,5022,0.0037863691
ISO1,4,45647,50708,5062,ISO1,23,150588,155609,5022,0.0039848575
ISO1,6,64750,69811,5062,ISO1,23,150588,155609,5022,0.0041841004
ISO1,7,69812,74872,5061,ISO1,23,150588,155609,5022,0.0037863691
ISO1,8,74873,79933,5061,ISO1,23,150588,155609,5022,0.0039856517
ISO1,9,79934,84994,5061,ISO1,23,150588,155609,5022,0.0037863691
ISO1,10,84995,90055,5061,ISO1,23,150588,155609,5022,0.0039856517
ISO1,11,90056,95116,5061,ISO1,23,150588,155609,5022,0.0039856517
ISO1,12,95117,100177,5061,ISO1,23,150588,155609,5022,0.0037863691
ISO1,13,100178,105238,5061,ISO1,23,150588,155609,5022,0.0039856517
ISO1,14,105239,110278,5040,ISO1,23,150588,155609,5022,0.0035878015
ISO1,15,110279,115322,5044,ISO1,23,150588,155609,5022,0.0017924716
ISO1,16,115323,120367,5045,ISO1,23,150588,155609,5022,0.0007964954
ISO1,17,120368,125412,5045,ISO1,23,150588,155609,5022,0.0007964954
ISO1,18,125413,130457,5045,ISO1,23,150588,155609,5022,0.0009956193
ISO1,19,130458,135497,5040,ISO1,23,150588,155609,5022,0.0009966115
ISO1,20,135498,140544,5047,ISO1,23,150588,155609,5022,0.0007968127
ISO1,21,140545,145565,5021,ISO1,23,150588,155609,5022,0.0005995204
ISO1,22,145566,150587,5022,ISO1,23,150588,155609,5022,0.0000000000
ISO1,1,30629,35521,4893,ISO1,24,155610,160651,5042,0.0043138866
ISO1,2,35522,40585,5064,ISO1,24,155610,160651,5042,0.0039690415
ISO1,3,40586,45646,5061,ISO1,24,155610,160651,5042,0.0037728356
ISO1,4,45647,50708,5062,ISO1,24,155610,160651,5042,0.0039706174
ISO1,6,64750,69811,5062,ISO1,24,155610,160651,5042,0.0041691483
ISO1,7,69812,74872,5061,ISO1,24,155610,160651,5042,0.0037728356
ISO1,8,74873,79933,5061,ISO1,24,155610,160651,5042,0.0039714059
ISO1,9,79934,84994,5061,ISO1,24,155610,160651,5042,0.0037728356
ISO1,10,84995,90055,5061,ISO1,24,155610,160651,5042,0.0039714059
ISO1,11,90056,95116,5061,ISO1,24,155610,160651,5042,0.0039714059
ISO1,12,95117,100177,5061,ISO1,24,155610,160651,5042,0.0037728356
ISO1,13,100178,105238,5061,ISO1,24,155610,160651,5042,0.0039714059
ISO1,14,105239,110278,5040,ISO1,24,155610,160651,5042,0.0035763958
ISO1,15,110279,115322,5044,ISO1,24,155610,160651,5042,0.0017867778
ISO1,16,115323,120367,5045,ISO1,24,155610,160651,5042,0.0007939659
ISO1,17,120368,125412,5045,ISO1,24,155610,160651,5042,0.0007939659
ISO1,18,125413,130457,5045,ISO1,24,155610,160651,5042,0.0009924573
ISO1,19,130458,135497,5040,ISO1,24,155610,160651,5042,0.0009934433
ISO1,20,135498,140544,5047,ISO1,24,155610,160651,5042,0.0007936508
ISO1,21,140545,145565,5021,ISO1,24,155610,160651,5042,0.0005984440
ISO1,22,145566,150587,5022,ISO1,24,155610,160651,5042,0.0000000000
ISO1,23,150588,155609,5022,ISO1,24,155610,160651,5042,0.0000000000
ISO1,1,30629,35521,4893,ISO1,25,160652,165693,5042,0.0041084634
ISO1,2,35522,40585,5064,ISO1,25,160652,165693,5042,0.0041674936
ISO1,3,40586,45646,5061,ISO1,25,160652,165693,5042,0.0039714059
ISO1,4,45647,50708,5062,ISO1,25,160652,165693,5042,0.0041691483
ISO1,6,64750,69811,5062,ISO1,25,160652,165693,5042,0.0043676792
ISO1,7,69812,74872,5061,ISO1,25,160652,165693,5042,0.0039714059
ISO1,8,74873,79933,5061,ISO1,25,160652,165693,5042,0.0041699762
ISO1,9,79934,84994,5061,ISO1,25,160652,165693,5042,0.0039714059
ISO1,10,84995,90055,5061,ISO1,25,160652,165693,5042,0.0041699762
ISO1,11,90056,95116,5061,ISO1,25,160652,165693,5042,0.0041699762
ISO1,12,95117,100177,5061,ISO1,25,160652,165693,5042,0.0039714059
ISO1,13,100178,105238,5061,ISO1,25,160652,165693,5042,0.0041699762
ISO1,14,105239,110278,5040,ISO1,25,160652,165693,5042,0.0037750844
ISO1,15,110279,115322,5044,ISO1,25,160652,165693,5042,0.0015882470
ISO1,16,115323,120367,5045,ISO1,25,160652,165693,5042,0.0005954744
ISO1,17,120368,125412,5045,ISO1,25,160652,165693,5042,0.0005954744
ISO1,18,125413,130457,5045,ISO1,25,160652,165693,5042,0.0007939659
ISO1,19,130458,135497,5040,ISO1,25,160652,165693,5042,0.0007947546
ISO1,20,135498,140544,5047,ISO1,25,160652,165693,5042,0.0005952381
ISO1,21,140545,145565,5021,ISO1,25,160652,165693,5042,0.0003989627
ISO1,22,145566,150587,5022,ISO1,25,160652,165693,5042,0.0001991239
ISO1,23,150588,155609,5022,ISO1,25,160652,165693,5042,0.0001991239
ISO1,24,155610,160651,5042,ISO1,25,160652,165693,5042,0.0001983340
ISO1,1,30629,35521,4893,ISO1,26,165694,170724,5031,0.0043236566
ISO1,2,35522,40585,5064,ISO1,26,165694,170724,5031,0.0043754972
ISO1,3,40586,45646,5061,ISO1,26,165694,170724,5031,0.0041791045
ISO1,4,45647,50708,5062,ISO1,26,165694,170724,5031,0.0043772384
ISO1,6,64750,69811,5062,ISO1,26,165694,170724,5031,0.0045762037
ISO1,7,69812,74872,5061,ISO1,26,165694,170724,5031,0.0041791045
ISO1,8,74873,79933,5061,ISO1,26,165694,170724,5031,0.0043781095
ISO1,9,79934,84994,5061,ISO1,26,165694,170724,5031,0.0041791045
ISO1,10,84995,90055,5061,ISO1,26,165694,170724,5031,0.0043781095
ISO1,11,90056,95116,5061,ISO1,26,165694,170724,5031,0.0043781095
ISO1,12,95117,100177,5061,ISO1,26,165694,170724,5031,0.0041791045
ISO1,13,100178,105238,5061,ISO1,26,165694,170724,5031,0.0043781095
ISO1,14,105239,110278,5040,ISO1,26,165694,170724,5031,0.0039824771
ISO1,15,110279,115322,5044,ISO1,26,165694,170724,5031,0.0017906884
ISO1,16,115323,120367,5045,ISO1,26,165694,170724,5031,0.0007957032
ISO1,17,120368,125412,5045,ISO1,26,165694,170724,5031,0.0007957032
ISO1,18,125413,130457,5045,ISO1,26,165694,170724,5031,0.0009946290
ISO1,19,130458,135497,5040,ISO1,26,165694,170724,5031,0.0009956193
ISO1,20,135498,140544,5047,ISO1,26,165694,170724,5031,0.0007953868
ISO1,21,140545,145565,5021,ISO1,26,165694,170724,5031,0.0005984440
ISO1,22,145566,150587,5022,ISO1,26,165694,170724,5031,0.0003982477
ISO1,23,150588,155609,5022,ISO1,26,165694,170724,5031,0.0003982477
ISO1,24,155610,160651,5042,ISO1,26,165694,170724,5031,0.0003975353
ISO1,25,160652,165693,5042,ISO1,26,165694,170724,5031,0.0001987676
ISO1,1,30629,35521,4893,ISO1,27,170725,175758,5034,0.0045248869
ISO1,2,35522,40585,5064,ISO1,27,170725,175758,5034,0.0045716557
ISO1,3,40586,45646,5061,ISO1,27,170725,175758,5034,0.0043737575
ISO1,4,45647,50708,5062,ISO1,27,170725,175758,5034,0.0045716557
ISO1,6,64750,69811,5062,ISO1,27,170725,175758,5034,0.0047704234
ISO1,7,69812,74872,5061,ISO1,27,170725,175758,5034,0.0043737575
ISO1,8,74873,79933,5061,ISO1,27,170725,175758,5034,0.0045725646
ISO1,9,79934,84994,5061,ISO1,27,170725,175758,5034,0.0043737575
ISO1,10,84995,90055,5061,ISO1,27,170725,175758,5034,0.0045725646
ISO1,11,90056,95116,5061,ISO1,27,170725,175758,5034,0.0045725646
ISO1,12,95117,100177,5061,ISO1,27,170725,175758,5034,0.0043737575
ISO1,13,100178,105238,5061,ISO1,27,170725,175758,5034,0.0045725646
ISO1,14,105239,110278,5040,ISO1,27,170725,175758,5034,0.0041757805
ISO1,15,110279,115322,5044,ISO1,27,170725,175758,5034,0.0019868865
ISO1,16,115323,120367,5045,ISO1,27,170725,175758,5034,0.0009932459
ISO1,17,120368,125412,5045,ISO1,27,170725,175758,5034,0.0009932459
ISO1,18,125413,130457,5045,ISO1,27,170725,175758,5034,0.0011918951
ISO1,19,130458,135497,5040,ISO1,27,170725,175758,5034,0.0011930801
ISO1,20,135498,140544,5047,ISO1,27,170725,175758,5034,0.0009936407
ISO1,21,140545,145565,5021,ISO1,27,170725,175758,5034,0.0007974482
ISO1,22,145566,150587,5022,ISO1,27,170725,175758,5034,0.0005973716
ISO1,23,150588,155609,5022,ISO1,27,170725,175758,5034,0.0005973716
ISO1,24,155610,160651,5042,ISO1,27,170725,175758,5034,0.0005967774
ISO1,25,160652,165693,5042,ISO1,27,170725,175758,5034,0.0003978516
ISO1,26,165694,170724,5031,ISO1,27,170725,175758,5034,0.0005967774
ISO1,1,30629,35521,4893,ISO1,28,175759,180794,5036,0.0043174342
ISO1,2,35522,40585,5064,ISO1,28,175759,180794,5036,0.0039737731
ISO1,3,40586,45646,5061,ISO1,28,175759,180794,5036,0.0037758347
ISO1,4,45647,50708,5062,ISO1,28,175759,180794,5036,0.0039737731
ISO1,6,64750,69811,5062,ISO1,28,175759,180794,5036,0.0041724618
ISO1,7,69812,74872,5061,ISO1,28,175759,180794,5036,0.0037758347
ISO1,8,74873,79933,5061,ISO1,28,175759,180794,5036,0.0039745628
ISO1,9,79934,84994,5061,ISO1,28,175759,180794,5036,0.0037758347
ISO1,10,84995,90055,5061,ISO1,28,175759,180794,5036,0.0039745628
ISO1,11,90056,95116,5061,ISO1,28,175759,180794,5036,0.0039745628
ISO1,12,95117,100177,5061,ISO1,28,175759,180794,5036,0.0037758347
ISO1,13,100178,105238,5061,ISO1,28,175759,180794,5036,0.0039745628
ISO1,14,105239,110278,5040,ISO1,28,175759,180794,5036,0.0035792404
ISO1,15,110279,115322,5044,ISO1,28,175759,180794,5036,0.0017881979
ISO1,16,115323,120367,5045,ISO1,28,175759,180794,5036,0.0007945967
ISO1,17,120368,125412,5045,ISO1,28,175759,180794,5036,0.0007945967
ISO1,18,125413,130457,5045,ISO1,28,175759,180794,5036,0.0009932459
ISO1,19,130458,135497,5040,ISO1,28,175759,180794,5036,0.0009942334
ISO1,20,135498,140544,5047,ISO1,28,175759,180794,5036,0.0007945967
ISO1,21,140545,145565,5021,ISO1,28,175759,180794,5036,0.0005978477
ISO1,22,145566,150587,5022,ISO1,28,175759,180794,5036,0.0000000000
ISO1,23,150588,155609,5022,ISO1,28,175759,180794,5036,0.0000000000
ISO1,24,155610,160651,5042,ISO1,28,175759,180794,5036,0.0000000000
ISO1,25,160652,165693,5042,ISO1,28,175759,180794,5036,0.0001988467
ISO1,26,165694,170724,5031,ISO1,28,175759,180794,5036,0.0003976934
ISO1,27,170725,175758,5034,ISO1,28,175759,180794,5036,0.0005959476
ISO1,1,30629,35521,4893,ISO1,29,180795,185839,5045,0.0047198851
ISO1,2,35522,40585,5064,ISO1,29,180795,185839,5045,0.0043633479
ISO1,3,40586,45646,5061,ISO1,29,180795,185839,5045,0.0041658401
ISO1,4,45647,50708,5062,ISO1,29,180795,185839,5045,0.0043633479
ISO1,6,64750,69811,5062,ISO1,29,180795,185839,5045,0.0045616819
ISO1,7,69812,74872,5061,ISO1,29,180795,185839,5045,0.0041658401
